consent_key.keys,consent_key.rt,recalled,recalled_rt,recall_acc,example_recall.thisRepN,example_recall.thisTrialN,example_recall.thisN,example_recall.thisIndex,example_recall.ran,file,word,participant,please enter your date of birth (dd/mm/yyyy),date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,list,prac_learn_study_loop.thisRepN,prac_learn_study_loop.thisTrialN,prac_learn_study_loop.thisN,prac_learn_study_loop.thisIndex,prac_learn_study_loop.ran,image,prac_learn_test_loop.thisRepN,prac_learn_test_loop.thisTrialN,prac_learn_test_loop.thisN,prac_learn_test_loop.thisIndex,prac_learn_test_loop.ran,learn_study_loop.thisRepN,learn_study_loop.thisTrialN,learn_study_loop.thisN,learn_study_loop.thisIndex,learn_study_loop.ran,list_no,block_no,learn_test_loop.thisRepN,learn_test_loop.thisTrialN,learn_test_loop.thisN,learn_test_loop.thisIndex,learn_test_loop.ran
y,9.686,ROBE,10.283,0,0,0,0,0,1,stimuli/images/PICTURE_747.png,TOUGH,5ed8f853923c0941e1238299,5ed8f853923c0941e1238299,2020-07-09_19h10.37.137,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f075d61a4aa9312ac090a8a,5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_378.png,LOSS,5ed8f853923c0941e1238299,5ed8f853923c0941e1238299,2020-07-09_19h10.37.137,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f075d61a4aa9312ac090a8a,5,0,0,0,2,1,lobster,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_727.png,CELL,5ed8f853923c0941e1238299,5ed8f853923c0941e1238299,2020-07-09_19h10.37.137,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f075d61a4aa9312ac090a8a,5,0,1,1,1,1,hose,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_658.png,DEVIL,5ed8f853923c0941e1238299,5ed8f853923c0941e1238299,2020-07-09_19h10.37.137,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f075d61a4aa9312ac090a8a,5,0,2,2,3,1,crow,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_269.png,GENIUS,5ed8f853923c0941e1238299,5ed8f853923c0941e1238299,2020-07-09_19h10.37.137,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f075d61a4aa9312ac090a8a,5,0,3,3,0,1,chameleon,,,,,,,,,,,,,,,,,
,,LOSS,15.009,0,,,,,,stimuli/images/PICTURE_269.png,GENIUS,5ed8f853923c0941e1238299,5ed8f853923c0941e1238299,2020-07-09_19h10.37.137,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f075d61a4aa9312ac090a8a,5,,,,,,chameleon,0,0,0,0,1,,,,,,,,,,,,
,,LOSS,15.006,1,,,,,,stimuli/images/PICTURE_378.png,LOSS,5ed8f853923c0941e1238299,5ed8f853923c0941e1238299,2020-07-09_19h10.37.137,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f075d61a4aa9312ac090a8a,5,,,,,,lobster,0,1,1,2,1,,,,,,,,,,,,
,,DEVIL,15.026,0,,,,,,stimuli/images/PICTURE_727.png,CELL,5ed8f853923c0941e1238299,5ed8f853923c0941e1238299,2020-07-09_19h10.37.137,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f075d61a4aa9312ac090a8a,5,,,,,,hose,0,2,2,1,1,,,,,,,,,,,,
,,GENIUS,15.013,0,,,,,,stimuli/images/PICTURE_697.png,KILLER,5ed8f853923c0941e1238299,5ed8f853923c0941e1238299,2020-07-09_19h10.37.137,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f075d61a4aa9312ac090a8a,5,,,,,,peach,0,3,3,4,1,,,,,,,,,,,,
,,DEVIL,15.007,1,,,,,,stimuli/images/PICTURE_658.png,DEVIL,5ed8f853923c0941e1238299,5ed8f853923c0941e1238299,2020-07-09_19h10.37.137,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f075d61a4aa9312ac090a8a,5,,,,,,crow,0,4,4,3,1,,,,,,,,,,,,
