consent_key.keys,consent_key.rt,recalled,recalled_rt,recall_acc,example_recall.thisRepN,example_recall.thisTrialN,example_recall.thisN,example_recall.thisIndex,example_recall.ran,file,word,participant,please enter your date of birth (dd/mm/yyyy),date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,list,prac_learn_study_loop.thisRepN,prac_learn_study_loop.thisTrialN,prac_learn_study_loop.thisN,prac_learn_study_loop.thisIndex,prac_learn_study_loop.ran,image,prac_learn_test_loop.thisRepN,prac_learn_test_loop.thisTrialN,prac_learn_test_loop.thisN,prac_learn_test_loop.thisIndex,prac_learn_test_loop.ran,learn_study_loop.thisRepN,learn_study_loop.thisTrialN,learn_study_loop.thisN,learn_study_loop.thisIndex,learn_study_loop.ran,list_no,block_no,learn_test_loop.thisRepN,learn_test_loop.thisTrialN,learn_test_loop.thisN,learn_test_loop.thisIndex,learn_test_loop.ran,learn_blocks.thisRepN,learn_blocks.thisTrialN,learn_blocks.thisN,learn_blocks.thisIndex,learn_blocks.ran,block_csv,key_resp_13.keys,key_resp_13.rt,learn_blocks_loop.thisRepN,learn_blocks_loop.thisTrialN,learn_blocks_loop.thisN,learn_blocks_loop.thisIndex,learn_blocks_loop.ran,final_learn_test.thisRepN,final_learn_test.thisTrialN,final_learn_test.thisN,final_learn_test.thisIndex,final_learn_test.ran,prac_wm_test_loop.thisRepN,prac_wm_test_loop.thisTrialN,prac_wm_test_loop.thisN,prac_wm_test_loop.thisIndex,prac_wm_test_loop.ran,wm_recalled1,wm_recall_rt1,wm_probed1,wm_recall_acc1,wm_recalled2,wm_recall_rt2,wm_probed2,wm_recall_acc2,wm_recalled3,wm_recall_rt3,wm_probed3,wm_recall_acc3,wm_recalled4,wm_recall_rt4,wm_probed4,wm_recall_acc4,prac_wm_trial_loop.thisRepN,prac_wm_trial_loop.thisTrialN,prac_wm_trial_loop.thisN,prac_wm_trial_loop.thisIndex,prac_wm_trial_loop.ran,word1,image1,file1,item_type1,word2,image2,file2,item_type2,word4,image4,file4,item_type4,word3,image3,file3,item_type3,wm_test_loop.thisRepN,wm_test_loop.thisTrialN,wm_test_loop.thisN,wm_test_loop.thisIndex,wm_test_loop.ran,wm_trial_loop.thisRepN,wm_trial_loop.thisTrialN,wm_trial_loop.thisN,wm_trial_loop.thisIndex,wm_trial_loop.ran
y,8.352995,TOUGH,15.00474,1,0,0,0,0,1,stimuli/images/PICTURE_747.png,TOUGH,5dfb7cbd01423f8a774d893b,21/09/1951,2020-07-09_21h03.35.126,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f0777f3c10cab3808bf3f52,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_658.png,DEVIL,5dfb7cbd01423f8a774d893b,21/09/1951,2020-07-09_21h03.35.126,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f0777f3c10cab3808bf3f52,3,0,0,0,3,1,crow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_697.png,KILLER,5dfb7cbd01423f8a774d893b,21/09/1951,2020-07-09_21h03.35.126,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f0777f3c10cab3808bf3f52,3,0,1,1,4,1,peach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_269.png,GENIUS,5dfb7cbd01423f8a774d893b,21/09/1951,2020-07-09_21h03.35.126,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f0777f3c10cab3808bf3f52,3,0,2,2,0,1,chameleon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_727.png,CELL,5dfb7cbd01423f8a774d893b,21/09/1951,2020-07-09_21h03.35.126,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f0777f3c10cab3808bf3f52,3,0,3,3,1,1,hose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LOSS,15.00416,1,,,,,,stimuli/images/PICTURE_378.png,LOSS,5dfb7cbd01423f8a774d893b,21/09/1951,2020-07-09_21h03.35.126,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f0777f3c10cab3808bf3f52,3,,,,,,lobster,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KILLER,15.005895,1,,,,,,stimuli/images/PICTURE_697.png,KILLER,5dfb7cbd01423f8a774d893b,21/09/1951,2020-07-09_21h03.35.126,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f0777f3c10cab3808bf3f52,3,,,,,,peach,0,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DEVIL,15.005395,1,,,,,,stimuli/images/PICTURE_658.png,DEVIL,5dfb7cbd01423f8a774d893b,21/09/1951,2020-07-09_21h03.35.126,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f0777f3c10cab3808bf3f52,3,,,,,,crow,0,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CELL,15.004685,1,,,,,,stimuli/images/PICTURE_727.png,CELL,5dfb7cbd01423f8a774d893b,21/09/1951,2020-07-09_21h03.35.126,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f0777f3c10cab3808bf3f52,3,,,,,,hose,0,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GENIUS,15.00516,1,,,,,,stimuli/images/PICTURE_269.png,GENIUS,5dfb7cbd01423f8a774d893b,21/09/1951,2020-07-09_21h03.35.126,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f0777f3c10cab3808bf3f52,3,,,,,,chameleon,0,4,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_405.png,YEAR,5dfb7cbd01423f8a774d893b,21/09/1951,2020-07-09_21h03.35.126,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f0777f3c10cab3808bf3f52,3,,,,,,anchor,,,,,,0,0,0,34,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_750.png,HOTEL,5dfb7cbd01423f8a774d893b,21/09/1951,2020-07-09_21h03.35.126,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f0777f3c10cab3808bf3f52,3,,,,,,kettle,,,,,,0,1,1,27,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_308.png,FAMILY,5dfb7cbd01423f8a774d893b,21/09/1951,2020-07-09_21h03.35.126,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f0777f3c10cab3808bf3f52,3,,,,,,dice,,,,,,0,2,2,36,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_504.png,ARTIST,5dfb7cbd01423f8a774d893b,21/09/1951,2020-07-09_21h03.35.126,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f0777f3c10cab3808bf3f52,3,,,,,,wheel,,,,,,0,3,3,49,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_42.png,BOYS,5dfb7cbd01423f8a774d893b,21/09/1951,2020-07-09_21h03.35.126,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f0777f3c10cab3808bf3f52,3,,,,,,pear,,,,,,0,4,4,55,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_380.png,HONEY,5dfb7cbd01423f8a774d893b,21/09/1951,2020-07-09_21h03.35.126,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f0777f3c10cab3808bf3f52,3,,,,,,gorilla,,,,,,0,5,5,19,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_339.png,CLIENT,5dfb7cbd01423f8a774d893b,21/09/1951,2020-07-09_21h03.35.126,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f0777f3c10cab3808bf3f52,3,,,,,,backpack,,,,,,0,6,6,11,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_403.png,WRITER,5dfb7cbd01423f8a774d893b,21/09/1951,2020-07-09_21h03.35.126,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f0777f3c10cab3808bf3f52,3,,,,,,cathedral,,,,,,0,7,7,31,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_57.png,MOMENT,5dfb7cbd01423f8a774d893b,21/09/1951,2020-07-09_21h03.35.126,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f0777f3c10cab3808bf3f52,3,,,,,,stamp,,,,,,0,8,8,37,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_340.png,LETTER,5dfb7cbd01423f8a774d893b,21/09/1951,2020-07-09_21h03.35.126,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f0777f3c10cab3808bf3f52,3,,,,,,mirror,,,,,,0,9,9,24,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_147.png,WOMEN,5dfb7cbd01423f8a774d893b,21/09/1951,2020-07-09_21h03.35.126,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f0777f3c10cab3808bf3f52,3,,,,,,hanger,,,,,,0,10,10,7,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_297.png,RIVER,5dfb7cbd01423f8a774d893b,21/09/1951,2020-07-09_21h03.35.126,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f0777f3c10cab3808bf3f52,3,,,,,,aeroplane,,,,,,0,11,11,39,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_85.png,TOILET,5dfb7cbd01423f8a774d893b,21/09/1951,2020-07-09_21h03.35.126,proactive,2020.1.2,Win32,60,5f073de81c76c3308c0e4fb3,5f0777f3c10cab3808bf3f52,3,,,,,,diamond,,,,,,0,12,12,48,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
