consent_key.keys,consent_key.rt,recalled,recalled_rt,recall_acc,example_recall.thisRepN,example_recall.thisTrialN,example_recall.thisN,example_recall.thisIndex,example_recall.ran,file,word,participant,please enter your date of birth (dd/mm/yyyy),date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,list,prac_learn_study_loop.thisRepN,prac_learn_study_loop.thisTrialN,prac_learn_study_loop.thisN,prac_learn_study_loop.thisIndex,prac_learn_study_loop.ran,image,prac_learn_test_loop.thisRepN,prac_learn_test_loop.thisTrialN,prac_learn_test_loop.thisN,prac_learn_test_loop.thisIndex,prac_learn_test_loop.ran,learn_study_loop.thisRepN,learn_study_loop.thisTrialN,learn_study_loop.thisN,learn_study_loop.thisIndex,learn_study_loop.ran,list_no,block_no,learn_test_loop.thisRepN,learn_test_loop.thisTrialN,learn_test_loop.thisN,learn_test_loop.thisIndex,learn_test_loop.ran,learn_blocks.thisRepN,learn_blocks.thisTrialN,learn_blocks.thisN,learn_blocks.thisIndex,learn_blocks.ran,block_csv
y,6.696,T,10.054,0,0,0,0,0,1,stimuli/images/PICTURE_747.png,TOUGH,5d4cdc63ec9aa0000112ae43,23/10/1985,2020-08-27_13h27.29.317,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ece295b81824ca8736b6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_378.png,LOSS,5d4cdc63ec9aa0000112ae43,23/10/1985,2020-08-27_13h27.29.317,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ece295b81824ca8736b6,4,0,0,0,2,1,lobster,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_658.png,DEVIL,5d4cdc63ec9aa0000112ae43,23/10/1985,2020-08-27_13h27.29.317,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ece295b81824ca8736b6,4,0,1,1,3,1,crow,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_727.png,CELL,5d4cdc63ec9aa0000112ae43,23/10/1985,2020-08-27_13h27.29.317,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ece295b81824ca8736b6,4,0,2,2,1,1,hose,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_269.png,GENIUS,5d4cdc63ec9aa0000112ae43,23/10/1985,2020-08-27_13h27.29.317,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ece295b81824ca8736b6,4,0,3,3,0,1,chameleon,,,,,,,,,,,,,,,,,,,,,,,
,,CCC,15.015,0,,,,,,stimuli/images/PICTURE_727.png,CELL,5d4cdc63ec9aa0000112ae43,23/10/1985,2020-08-27_13h27.29.317,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ece295b81824ca8736b6,4,,,,,,hose,0,0,0,1,1,,,,,,,,,,,,,,,,,,
,,D,15.017,0,,,,,,stimuli/images/PICTURE_658.png,DEVIL,5d4cdc63ec9aa0000112ae43,23/10/1985,2020-08-27_13h27.29.317,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ece295b81824ca8736b6,4,,,,,,crow,0,1,1,3,1,,,,,,,,,,,,,,,,,,
,,?,15.001,0,,,,,,stimuli/images/PICTURE_269.png,GENIUS,5d4cdc63ec9aa0000112ae43,23/10/1985,2020-08-27_13h27.29.317,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ece295b81824ca8736b6,4,,,,,,chameleon,0,2,2,0,1,,,,,,,,,,,,,,,,,,
,,E,15.018,0,,,,,,stimuli/images/PICTURE_378.png,LOSS,5d4cdc63ec9aa0000112ae43,23/10/1985,2020-08-27_13h27.29.317,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ece295b81824ca8736b6,4,,,,,,lobster,0,3,3,2,1,,,,,,,,,,,,,,,,,,
,,?,15.001,0,,,,,,stimuli/images/PICTURE_697.png,KILLER,5d4cdc63ec9aa0000112ae43,23/10/1985,2020-08-27_13h27.29.317,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ece295b81824ca8736b6,4,,,,,,peach,0,4,4,4,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_667.png,BATH,5d4cdc63ec9aa0000112ae43,23/10/1985,2020-08-27_13h27.29.317,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ece295b81824ca8736b6,4,,,,,,daisy,,,,,,0,0,0,4,1,1,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_453.png,PLENTY,5d4cdc63ec9aa0000112ae43,23/10/1985,2020-08-27_13h27.29.317,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ece295b81824ca8736b6,4,,,,,,scissors,,,,,,0,1,1,56,1,6,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_308.png,ESTATE,5d4cdc63ec9aa0000112ae43,23/10/1985,2020-08-27_13h27.29.317,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ece295b81824ca8736b6,4,,,,,,dice,,,,,,0,2,2,46,1,5,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_208.png,LOTS,5d4cdc63ec9aa0000112ae43,23/10/1985,2020-08-27_13h27.29.317,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ece295b81824ca8736b6,4,,,,,,microphone,,,,,,0,3,3,10,1,2,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_327.png,BEAUTY,5d4cdc63ec9aa0000112ae43,23/10/1985,2020-08-27_13h27.29.317,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ece295b81824ca8736b6,4,,,,,,helmet,,,,,,0,4,4,48,1,5,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_248.png,DOZEN,5d4cdc63ec9aa0000112ae43,23/10/1985,2020-08-27_13h27.29.317,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ece295b81824ca8736b6,4,,,,,,cart,,,,,,0,5,5,39,1,4,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_339.png,PLENTY,5d4cdc63ec9aa0000112ae43,23/10/1985,2020-08-27_13h27.29.317,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ece295b81824ca8736b6,4,,,,,,backpack,,,,,,0,6,6,0,1,1,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_488.png,STYLE,5d4cdc63ec9aa0000112ae43,23/10/1985,2020-08-27_13h27.29.317,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ece295b81824ca8736b6,4,,,,,,sun,,,,,,0,7,7,33,1,4,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_356.png,DANGER,5d4cdc63ec9aa0000112ae43,23/10/1985,2020-08-27_13h27.29.317,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ece295b81824ca8736b6,4,,,,,,pawn,,,,,,0,8,8,55,1,6,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_68.png,MILE,5d4cdc63ec9aa0000112ae43,23/10/1985,2020-08-27_13h27.29.317,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ece295b81824ca8736b6,4,,,,,,candle,,,,,,0,9,9,44,1,5,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_203.png,ARTIST,5d4cdc63ec9aa0000112ae43,23/10/1985,2020-08-27_13h27.29.317,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ece295b81824ca8736b6,4,,,,,,cap,,,,,,0,10,10,26,1,3,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_469.png,ARTIST,5d4cdc63ec9aa0000112ae43,23/10/1985,2020-08-27_13h27.29.317,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ece295b81824ca8736b6,4,,,,,,stool,,,,,,0,11,11,6,1,1,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_177.png,CARS,5d4cdc63ec9aa0000112ae43,23/10/1985,2020-08-27_13h27.29.317,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ece295b81824ca8736b6,4,,,,,,mushroom,,,,,,0,12,12,35,1,4,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_654.png,VALLEY,5d4cdc63ec9aa0000112ae43,23/10/1985,2020-08-27_13h27.29.317,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ece295b81824ca8736b6,4,,,,,,pencil,,,,,,0,13,13,1,1,1,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_160.png,LEADER,5d4cdc63ec9aa0000112ae43,23/10/1985,2020-08-27_13h27.29.317,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ece295b81824ca8736b6,4,,,,,,wheelbarrow,,,,,,0,14,14,3,1,1,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_233.png,IDEAS,5d4cdc63ec9aa0000112ae43,23/10/1985,2020-08-27_13h27.29.317,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ece295b81824ca8736b6,4,,,,,,salt,,,,,,0,15,15,28,1,3,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_151.png,GIRL,5d4cdc63ec9aa0000112ae43,23/10/1985,2020-08-27_13h27.29.317,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ece295b81824ca8736b6,4,,,,,,tray,,,,,,0,16,16,19,1,2,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_491.png,WRITER,5d4cdc63ec9aa0000112ae43,23/10/1985,2020-08-27_13h27.29.317,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ece295b81824ca8736b6,4,,,,,,rug,,,,,,0,17,17,57,1,6,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_491.png,ROOF,5d4cdc63ec9aa0000112ae43,23/10/1985,2020-08-27_13h27.29.317,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ece295b81824ca8736b6,4,,,,,,rug,,,,,,0,18,18,24,1,3,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_667.png,PLENTY,5d4cdc63ec9aa0000112ae43,23/10/1985,2020-08-27_13h27.29.317,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ece295b81824ca8736b6,4,,,,,,daisy,,,,,,0,19,19,41,1,5,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_467.png,DEMON,5d4cdc63ec9aa0000112ae43,23/10/1985,2020-08-27_13h27.29.317,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ece295b81824ca8736b6,4,,,,,,peg,,,,,,0,20,20,23,1,3,0,,,,,,,,,,,
,,,,,,,,,,stimuli/images/PICTURE_504.png,BODY,5d4cdc63ec9aa0000112ae43,23/10/1985,2020-08-27_13h27.29.317,proactive3.1,2020.1.2,Win32,60,5f47c29a48bd2a1e651a6eb7,5f47ece295b81824ca8736b6,4,,,,,,wheel,,,,,,0,21,21,8,1,1,0,,,,,,,,,,,
